0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
152  [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/ubuntu/workspace/jetty/contexts at interval 0
223  [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/ubuntu/workspace/jetty/contexts/solr.xml
136650 [qtp1587779925-14] INFO  org.apache.solr.core.SolrCore  – UnInverted multi-valued field {field=record_source_facet,memSize=4573,tindexSize=60,time=1,phase1=1,nTerms=2,bigTerms=2,termInstances=0,uses=0}
137018 [qtp1587779925-14] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={facet=true&sort=score+desc,+pub_date_sort+desc,+title_sort+asc&f.series_facet.facet.limit=11&f.language_facet.facet.sort=count&stats=true&f.subject_topic_facet.facet.limit=21&f.language_facet.facet.limit=11&f.subject_name_facet.facet.sort=count&wt=ruby&rows=10&f.series_facet.facet.sort=count&f.subject_name_facet.facet.limit=11&fl=*&f.subject_geo_facet.facet.limit=11&stats.field=pub_date_sort&f.subject_geo_facet.facet.sort=count&f.genre_facet.facet.limit=11&f.record_source_facet.facet.limit=11&f.subject_era_facet.facet.sort=count&facet.field=is_electronic_facet&facet.field=format&facet.field=pub_date_sort&facet.field=subject_topic_facet&facet.field=language_facet&facet.field=lc_1letter_facet&facet.field=subject_geo_facet&facet.field=subject_era_facet&facet.field=subject_name_facet&facet.field=genre_facet&facet.field=series_facet&facet.field=record_source_facet&qt=search&f.subject_topic_facet.facet.sort=count&f.genre_facet.facet.sort=count&f.subject_era_facet.facet.limit=11} hits=12630 status=0 QTime=1622 
148577 [qtp1587779925-15] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={facet=true&sort=score+desc,+pub_date_sort+desc,+title_sort+asc&f.series_facet.facet.limit=11&f.language_facet.facet.sort=count&stats=true&f.subject_topic_facet.facet.limit=21&f.language_facet.facet.limit=11&f.subject_name_facet.facet.sort=count&wt=ruby&rows=10&f.series_facet.facet.sort=count&f.subject_name_facet.facet.limit=11&fl=*&f.subject_geo_facet.facet.limit=11&stats.field=pub_date_sort&f.subject_geo_facet.facet.sort=count&f.genre_facet.facet.limit=11&f.record_source_facet.facet.limit=11&f.subject_era_facet.facet.sort=count&facet.field=is_electronic_facet&facet.field=format&facet.field=pub_date_sort&facet.field=subject_topic_facet&facet.field=language_facet&facet.field=lc_1letter_facet&facet.field=subject_geo_facet&facet.field=subject_era_facet&facet.field=subject_name_facet&facet.field=genre_facet&facet.field=series_facet&facet.field=record_source_facet&qt=search&f.subject_topic_facet.facet.sort=count&f.genre_facet.facet.sort=count&f.subject_era_facet.facet.limit=11} hits=12630 status=0 QTime=83 
152262 [qtp1587779925-16] INFO  org.apache.solr.core.SolrCore  – UnInverted multi-valued field {field=lc_alpha_facet,memSize=4288,tindexSize=0,time=0,phase1=0,nTerms=0,bigTerms=0,termInstances=0,uses=0}
152307 [qtp1587779925-16] INFO  org.apache.solr.core.SolrCore  – UnInverted multi-valued field {field=lc_b4cutter_facet,memSize=79034,tindexSize=814,time=43,phase1=42,nTerms=6547,bigTerms=0,termInstances=10252,uses=0}
152318 [qtp1587779925-16] INFO  org.apache.solr.core.SolrCore  – UnInverted multi-valued field {field=pub_date,memSize=56184,tindexSize=56,time=7,phase1=6,nTerms=166,bigTerms=0,termInstances=12565,uses=0}
152324 [qtp1587779925-16] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={facet=true&sort=score+desc,+pub_date_sort+desc,+title_sort+asc&f.series_facet.facet.limit=11&f.language_facet.facet.sort=count&f.subject_topic_facet.facet.limit=21&f.language_facet.facet.limit=11&f.subject_name_facet.facet.sort=count&wt=ruby&rows=0&f.series_facet.facet.sort=count&f.subject_name_facet.facet.limit=11&fl=*&facet.query=pub_date_sort:[1599+TO+1599]&facet.query=pub_date_sort:[1600+TO+1649]&facet.query=pub_date_sort:[1650+TO+1699]&facet.query=pub_date_sort:[1700+TO+1749]&facet.query=pub_date_sort:[1750+TO+1799]&facet.query=pub_date_sort:[1800+TO+1849]&facet.query=pub_date_sort:[1850+TO+1899]&facet.query=pub_date_sort:[1900+TO+1949]&facet.query=pub_date_sort:[1950+TO+1999]&facet.query=pub_date_sort:[2000+TO+2016]&f.subject_geo_facet.facet.limit=11&f.subject_geo_facet.facet.sort=count&f.genre_facet.facet.limit=11&f.record_source_facet.facet.limit=11&f.subject_era_facet.facet.sort=count&qt=search&f.subject_topic_facet.facet.sort=count&f.genre_facet.facet.sort=count&f.subject_era_facet.facet.limit=11} hits=12630 status=0 QTime=155 
165058 [qtp1587779925-17] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={facet=true&sort=score+desc,+pub_date_sort+desc,+title_sort+asc&f.series_facet.facet.limit=11&f.language_facet.facet.sort=count&stats=true&f.subject_topic_facet.facet.limit=21&f.language_facet.facet.limit=11&f.subject_name_facet.facet.sort=count&wt=ruby&rows=10&f.series_facet.facet.sort=count&f.subject_name_facet.facet.limit=11&fl=*&f.subject_geo_facet.facet.limit=11&stats.field=pub_date_sort&f.subject_geo_facet.facet.sort=count&f.genre_facet.facet.limit=11&f.record_source_facet.facet.limit=11&f.subject_era_facet.facet.sort=count&facet.field=is_electronic_facet&facet.field=format&facet.field=pub_date_sort&facet.field=subject_topic_facet&facet.field=language_facet&facet.field=lc_1letter_facet&facet.field=subject_geo_facet&facet.field=subject_era_facet&facet.field=subject_name_facet&facet.field=genre_facet&facet.field=series_facet&facet.field=record_source_facet&qt=search&fq={!term+f%3Dformat}Book&f.subject_topic_facet.facet.sort=count&f.genre_facet.facet.sort=count&f.subject_era_facet.facet.limit=11} hits=11767 status=0 QTime=213 
175558 [qtp1587779925-12] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={facet=true&sort=score+desc,+pub_date_sort+desc,+title_sort+asc&f.series_facet.facet.limit=11&f.language_facet.facet.sort=count&f.subject_topic_facet.facet.limit=21&f.language_facet.facet.limit=11&f.subject_name_facet.facet.sort=count&wt=ruby&rows=0&f.series_facet.facet.sort=count&f.subject_name_facet.facet.limit=11&fl=*&f.subject_geo_facet.facet.limit=11&facet.query=pub_date_sort:[1599+TO+1599]&facet.query=pub_date_sort:[1600+TO+1649]&facet.query=pub_date_sort:[1650+TO+1699]&facet.query=pub_date_sort:[1700+TO+1749]&facet.query=pub_date_sort:[1750+TO+1799]&facet.query=pub_date_sort:[1800+TO+1849]&facet.query=pub_date_sort:[1850+TO+1899]&facet.query=pub_date_sort:[1900+TO+1949]&facet.query=pub_date_sort:[1950+TO+1999]&facet.query=pub_date_sort:[2000+TO+2012]&f.subject_geo_facet.facet.sort=count&f.genre_facet.facet.limit=11&f.record_source_facet.facet.limit=11&f.subject_era_facet.facet.sort=count&qt=search&fq={!term+f%3Dformat}Book&f.subject_topic_facet.facet.sort=count&f.genre_facet.facet.sort=count&f.subject_era_facet.facet.limit=11} hits=11767 status=0 QTime=189 
212884 [qtp1587779925-17] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] webapp=/solr path=/select params={id=165657&qt=document&wt=ruby} hits=1 status=0 QTime=97 
